CollectionDate,geolatitude,geolongitude,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.984888,-104.808709,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.506624,-104.744964,,
10/25/22,39.545896,-104.796304,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.515446,-104.773852,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.856929,-104.979337,,
10/25/22,39.368406,-104.851197,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.623904,-104.738298,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.651993,-104.979749,,
10/25/22,39.70883,-104.847822,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.699649,-104.848994,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.683943,-104.875278,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.841574,-104.91827,,
10/25/22,39.641453,-104.77933,,
10/25/22,39.905494,-104.975338,,
10/25/22,39.99231,-104.850891,,
10/25/22,39.898432,-105.027943,,
10/25/22,39.898432,-105.027943,,
10/25/22,39.903744,-104.981794,,
10/25/22,39.896415,-104.98057,,
10/25/22,39.898432,-105.027943,,
10/25/22,39.903744,-104.981794,,
10/25/22,39.903744,-104.981794,,
10/25/22,39.834456,-105.011424,,
10/25/22,39.397278,-104.896301,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.551147,-104.871811,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.903744,-104.981794,,
10/25/22,39.612223,-104.860404,,
10/25/22,39.612223,-104.860404,,
10/25/22,39.703041,-104.810414,,
10/25/22,39.705705,-104.791888,,
10/25/22,39.57362,-104.946846,,
10/25/22,39.905351,-104.983677,,
10/25/22,39.905351,-104.983677,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.617134,-104.750984,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.723546,-104.868446,,
10/25/22,39.889608,-105.014359,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.810963,-104.905222,,
10/25/22,39.8735,-105.0371,,
10/25/22,39.897967,-104.967595,,
10/25/22,39.809451,-104.913093,,
10/25/22,39.723359,-104.841901,,
10/25/22,39.727851,-104.862957,,
10/25/22,39.654918,-104.758231,,
10/25/22,39.943575,-104.946932,,
10/25/22,39.898432,-105.027943,,
10/25/22,39.383034,-104.837692,,
10/25/22,39.709281,-104.799217,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.809451,-104.913093,,
10/25/22,39.643079,-104.758336,,
10/25/22,39.622515,-104.817184,,
10/25/22,39.607176,-104.74642,,
10/25/22,39.342691,-104.863064,,
10/25/22,39.520847,-104.802452,,
10/25/22,39.898432,-105.027943,,
10/25/22,39.621787,-104.811385,,
10/25/22,39.900028,-104.875902,,
10/25/22,39.898432,-105.027943,,
10/25/22,39.898432,-105.027943,,
